disease,step,rr_mean,rr_lci,rr_uci
cancer,0,1.01129952272857,1,1.02352543117884
cancer,10,1.01119460327024,1,1.02331905711404
cancer,20,1.01108968381192,1,1.02311268304924
cancer,30,1.01098476435359,1,1.02290630898443
cancer,40,1.01087984489527,1,1.02269993491963
cancer,50,1.01077492543694,1,1.02249356085483
cancer,60,1.01067000597862,1,1.02228718679003
cancer,70,1.01056508652029,1,1.02208081272523
cancer,80,1.01046016706197,1,1.02187443866043
cancer,90,1.01035524760365,1,1.02166806459563
cancer,100,1.01025032814532,1,1.02146169053083
cancer,110,1.010145408687,1,1.02125531646602
cancer,120,1.01004048922867,1,1.02104866150972
cancer,130,1.00993556977035,1,1.02084179263837
cancer,140,1.00983065031202,1,1.02063492376702
cancer,150,1.0097257308537,1,1.02042805489567
cancer,160,1.00962081139537,1,1.02021195183894
cancer,170,1.00951589193705,1,1.02000646109774
cancer,180,1.00941097247872,1,1.01980097035655
cancer,190,1.0093060530204,1,1.01959547961536
cancer,200,1.00920113356207,1,1.01938992261616
cancer,210,1.00909621410375,1,1.01916561173697
cancer,220,1.00899129464542,1,1.01893778097491
cancer,230,1.0088863751871,1,1.01871348124738
cancer,240,1.00878145572877,1,1.01850783418414
cancer,250,1.00867653627045,1,1.0183021871209
cancer,260,1.00857161681213,1,1.01809654005765
cancer,270,1.0084666973538,1,1.01789089299441
cancer,280,1.00836177789548,1,1.01768522757057
cancer,290,1.00825685843715,1,1.01747955835144
cancer,300,1.00815193897883,1,1.01727378031147
cancer,310,1.0080470195205,1,1.01706765613534
cancer,320,1.00794210006218,1,1.01686153195922
cancer,330,1.00783718060385,1,1.01665464517271
cancer,340,1.00773226114553,1,1.01644293471567
cancer,350,1.0076273416872,0.999999987727435,1.01623806418464
cancer,360,1.00752242222888,0.999999190714431,1.01603319365361
cancer,370,1.00741750277055,0.999988882770343,1.01582832312258
cancer,380,1.00731258331223,0.999979933991387,1.01562099360621
cancer,390,1.0072076638539,0.999970961761657,1.01539551838667
cancer,400,1.00710274439558,0.999958749702792,1.01517004316712
cancer,410,1.00699782493725,0.999953585220126,1.01494876922887
cancer,420,1.00689290547893,0.999941678275293,1.01474388293921
cancer,430,1.0067879860206,0.999933717982775,1.01453899664954
cancer,440,1.00668306656228,0.999928762346154,1.01432588337247
cancer,450,1.00657814710396,0.999923264835201,1.0141026762878
cancer,460,1.00647322764563,0.999912752817647,1.01387946920312
cancer,470,1.00636830818731,0.999910925411647,1.0136672777704
cancer,480,1.00626338872898,0.999905868341562,1.01346332003335
cancer,490,1.00615846927066,0.999893944979937,1.01325936229629
cancer,500,1.00605354981233,0.999882021618312,1.01305540455924
cancer,510,1.00594863035401,0.999870098256687,1.01285144682218
cancer,520,1.00584371089568,0.999858294132995,1.01264748908512
cancer,530,1.00573879143736,0.999855847792984,1.01244353134807
cancer,540,1.00563387197903,0.999849424264806,1.01223957361101
cancer,550,1.00552895252071,0.999839216521062,1.01203523036221
cancer,560,1.00542403306238,0.999830274920196,1.01183083649612
cancer,570,1.00531911360406,0.999819235304911,1.01162644263003
cancer,580,1.00521419414573,0.999808476751018,1.01140535200522
cancer,590,1.00510927468741,0.99979813799874,1.0111839502563
cancer,600,1.00500435522908,0.999787799246463,1.01096254850738
cancer,610,1.00489943577076,0.999777471415424,1.01074114675846
cancer,620,1.00479451631244,0.999767270126926,1.01051962511518
